document,quotation,Group,Codes,Themes
3107,"Function annotations, both for parameters and return values, are completely optional.",Annotation Design,Optional Function Annotations,Syntax
3107,Function annotations are nothing more than a way of associating arbitrary Python expressions with various parts of a function at compile-time.,Type Annotation Syntax,Arbitrary Expressions as Annotation Values,Design Decision
3107,"By itself, Python does not attach any particular meaning or significance to annotations. Left to its own, Python simply makes these expressions available as described in Accessing Function Annotations below.",Type Annotation Syntax,No Built-in Semantics for Annotations,Design Decision
3107,"The only way that annotations take on meaning is when they are interpreted by third-party libraries. These annotation consumers can do anything they want with a function’s annotations. For example, one library might use string-based annotations to provide improved help messages, like so:

def compile(source: ""something compilable"",             filename: ""where the compilable thing comes from"",             mode: ""is this a single statement or a suite?""):     ... ",Annotation Design,Annotations as Arbitrary Expressions,Design Decision
3107,"Another library might be used to provide typechecking for Python functions and methods. This library could use annotations to indicate the function’s expected input and return types, possibly something like:

def haul(item: Haulable, *vargs: PackAnimal) -> Distance:     ... 

However, neither the strings in the first example nor the type information in the second example have any meaning on their own; meaning comes from third-party libraries alone.

Following from point 2, this PEP makes no attempt to introduce any kind of standard semantics, even for the built-in types. This work will be left to third-party libraries.",Developer Tooling & Ecosystem Support,Third-party Annotation Consumers,Adoption Practice
3107,"Another library might be used to provide typechecking for Python functions and methods. This library could use annotations to indicate the function’s expected input and return types, possibly something like:

def haul(item: Haulable, *vargs: PackAnimal) -> Distance:     ... 

However, neither the strings in the first example nor the type information in the second example have any meaning on their own; meaning comes from third-party libraries alone.

Following from point 2, this PEP makes no attempt to introduce any kind of standard semantics, even for the built-in types. This work will be left to third-party libraries.",Developer Tooling & Ecosystem Support,Third-party Annotation Consumers,Adoption Practice
,"Annotations for parameters take the form of optional expressions that follow the parameter name:

def foo(a: expression, b: expression = 5):     ... 

In pseudo-grammar, parameters now look like identifier [: expression] [= expression]. That is, annotations always precede a parameter’s default value and both annotations and default values are optional. Just like how equal signs are used to indicate a default value, colons are used to mark annotations. All annotation expressions are evaluated when the function definition is executed, just like default values.

Annotations for excess parameters (i.e., *args and **kwargs) are indicated similarly:

def foo(*args: expression, **kwargs: expression):     ... 

Annotations for nested parameters always follow the name of the parameter, not the last parenthesis. Annotating all parameters of a nested parameter is not required:

def foo((x1, y1: expression),         (x2: expression, y2: expression)=(None, None)):     ... ",Type Annotation Syntax,Parameter Annotation Syntax,Syntax
3107,"Annotations for parameters take the form of optional expressions that follow the parameter name:

def foo(a: expression, b: expression = 5):     ... 

In pseudo-grammar, parameters now look like identifier [: expression] [= expression]. That is, annotations always precede a parameter’s default value and both annotations and default values are optional. Just like how equal signs are used to indicate a default value, colons are used to mark annotations. All annotation expressions are evaluated when the function definition is executed, just like default values.

Annotations for excess parameters (i.e., *args and **kwargs) are indicated similarly:

def foo(*args: expression, **kwargs: expression):     ... 

Annotations for nested parameters always follow the name of the parameter, not the last parenthesis. Annotating all parameters of a nested parameter is not required:

def foo((x1, y1: expression),         (x2: expression, y2: expression)=(None, None)):     ... ",Annotation Design,Annotations as Arbitrary Expressions,Design Decision
3107,"The examples thus far have omitted examples of how to annotate the type of a function’s return value. This is done like so:

def sum() -> expression:     ... 

That is, the parameter list can now be followed by a literal -> and a Python expression. Like the annotations for parameters, this expression will be evaluated when the function definition is executed.

The grammar for function definitions [11] is now:

decorator: '@' dotted_name [ '(' [arglist] ')' ] NEWLINE decorators: decorator+ funcdef: [decorators] 'def' NAME parameters ['->' test] ':' suite parameters: '(' [typedargslist] ')' typedargslist: ((tfpdef ['=' test] ',')*                 ('*' [tname] (',' tname ['=' test])* [',' '**' tname]                  | '**' tname)                 | tfpdef ['=' test] (',' tfpdef ['=' test])* [',']) tname: NAME [':' test] tfpdef: tname | '(' tfplist ')' tfplist: tfpdef (',' tfpdef)* [','] ",Type Annotation Syntax,Return Annotation Syntax,Syntax
3107,"lambda’s syntax does not support annotations. The syntax of lambda could be changed to support annotations, by requiring parentheses around the parameter list. However it was decided [12] not to make this change because:

It would be an incompatible change.

Lambdas are neutered anyway.

The lambda can always be changed to a function.",Annotation Syntax,Excluding Lambda Annotations,Syntax Limitations
3107,"Once compiled, a function’s annotations are available via the function’s __annotations__ attribute. This attribute is a mutable dictionary, mapping parameter names to an object representing the evaluated annotation expression

There is a special key in the __annotations__ mapping, ""return"". This key is present only if an annotation was supplied for the function’s return value.

For example, the following annotation:

def foo(a: 'x', b: 5 + 6, c: list) -> max(2, 9):     ... 

would result in an __annotations__ mapping of

{'a': 'x',  'b': 11,  'c': list,  'return': 9} 

The return key was chosen because it cannot conflict with the name of a parameter; any attempt to use return as a parameter name would result in a SyntaxError.

__annotations__ is an empty, mutable dictionary if there are no annotations on the function or if the functions was created from a lambda expression.",Annotation Syntax,Function Annotation Metadata,Syntax
3107,"In the course of discussing annotations, a number of use-cases have been raised. Some of these are presented here, grouped by what kind of information they convey. Also included are examples of existing products and packages that could make use of annotations.

Providing typing information

Type checking ([3], [4])

Let IDEs show what types a function expects and returns ([16])

Function overloading / generic functions ([21])

Foreign-language bridges ([17], [18])

Adaptation ([20], [19])

Predicate logic functions

Database query mapping

RPC parameter marshaling ([22])

Other information

Documentation for parameters and return values ([23])",Motivation & Goals,Annotation Use Cases,Motivation
3107,The pydoc module should display the function annotations when displaying help for a function. The inspect module should change to support annotations.,Developer Tooling & Ecosystem Support,Integration with Standard Library Tools,Adoption Practice
3107,Function Signature Objects should expose the function’s annotations. The Parameter object may change or other changes may be warranted.,Developer Tooling & Ecosystem Support,Exposing Annotations Through Introspection APIs,Adoption Practice
3107,The BDFL rejected the author’s idea for a special syntax for adding annotations to generators as being “too ugly” [2].,Annotation Design,Rejecting Generator Annotation Syntax,Design Decision
3107,"Though discussed early on ([5], [6]), including special objects in the stdlib for annotating generator functions and higher-order functions was ultimately rejected as being more appropriate for third-party libraries; including them in the standard library raised too many thorny issues.",Annotation Design,Keeping Annotation Semantics Outside the Standard Library,Design Decision
3107,"Despite considerable discussion about a standard type parameterisation syntax, it was decided that this should also be left to third-party libraries. ([7], [8], [9]).",Annotation Design,Rejecting Standard Type Parameterization Syntax,Design Decision
3107,"Despite yet more discussion, it was decided not to standardize a mechanism for annotation interoperability. Standardizing interoperability conventions at this point would be premature. We would rather let these conventions develop organically, based on real-world usage and necessity, than try to force all users into some contrived scheme. ([13], [14], [15]).",Type System Design,Rejecting Annotation Interoperability Standardization,Design Decision
484,"PEP 3107 introduced syntax for function annotations, but the semantics were deliberately left undefined. There has now been enough 3rd party usage for static type analysis that the community would benefit from a standard vocabulary and baseline tools within the standard library.",Motivation & Goals,Standardizing Type Annotation Semantics,Motivation
484,"Note that this PEP still explicitly does NOT prevent other uses of annotations, nor does it require (or forbid) any particular processing of annotations, even when they conform to this specification. It simply enables better coordination, as PEP 333 did for web frameworks.",Annotation Design,Maintaining Annotation Extensibility,Design Decision
484,"While these annotations are available at runtime through the usual __annotations__ attribute, no type checking happens at runtime. Instead, the proposal assumes the existence of a separate off-line type checker which users can run over their source code voluntarily. Essentially, such a type checker acts as a very powerful linter. (While it would of course be possible for individual users to employ a similar checker at run time for Design By Contract enforcement or JIT optimization, those tools are not yet as mature.)",Type System Design,Optional Static Type Checking,Key Feature
484,"The proposal is strongly inspired by mypy. For example, the type “sequence of integers” can be written as Sequence[int]. The square brackets mean that no new syntax needs to be added to the language. The example here uses a custom type Sequence, imported from a pure-Python module typing. The Sequence[int] notation works at runtime by implementing __getitem__() in the metaclass (but its significance is primarily to an offline type checker).",Type System Design,Support for Generic Types,Key Feature
484,"he type system supports unions, generic types, and a special type named Any which is consistent with (i.e. assignable to and from) all types. This latter feature is taken from the idea of gradual typing. Gradual typing and the full type system are explained in PEP 483.",Type System Design,Gradual Typing and Advanced Type System Support,Key Feature
484,"This PEP aims to provide a standard syntax for type annotations, opening up Python code to easier static analysis and refactoring, potential runtime type checking, and (perhaps, in some contexts) code generation utilizing type information.",Motivation & Goals,Standardizing Type Annotation Syntax,Motivation
484,"Of these goals, static analysis is the most important. This includes support for off-line type checkers such as mypy, as well as providing a standard notation that can be used by IDEs for code completion and refactoring.",Developer Tooling & Ecosystem Support,Support for Static Analysis and Developer Tools,Benefits
484,"While the proposed typing module will contain some building blocks for runtime type checking – in particular the get_type_hints() function – third party packages would have to be developed to implement specific runtime type checking functionality, for example using decorators or metaclasses. Using type hints for performance optimizations is left as an exercise for the reader. It should also be emphasized that Python will remain a dynamically typed language, and the authors have no desire to ever make type hints mandatory, even by convention.",Developer Tooling & Ecosystem Support,Support for Runtime Type Checking Tools,Adoption Practice
484,"Any function without annotations should be treated as having the most general type possible, or ignored, by any type checker. Functions with the @no_type_check decorator should be treated as having no annotations.

It is recommended but not required that checked functions have annotations for all arguments and the return type. For a checked function, the default annotation for arguments and for the return type is Any. An exception is the first argument of instance and class methods. If it is not annotated, then it is assumed to have the type of the containing class for instance methods, and a type object type corresponding to the containing class object for class methods. For example, in class A the first argument of an instance method has the implicit type A. In a class method, the precise type of the first argument cannot be represented using the available type notation.

(Note that the return type of __init__ ought to be annotated with -> None. The reason for this is subtle. If __init__ assumed a return annotation of -> None, would that mean that an argument-less, un-annotated __init__ method should still be type-checked? Rather than leaving this ambiguous or introducing an exception to the exception, we simply say that __init__ ought to have a return annotation; the default behavior is thus the same as for other methods.)

A type checker is expected to check the body of a checked function for consistency with the given annotations. The annotations may also be used to check correctness of calls appearing in other checked functions.

Type checkers are expected to attempt to infer as much information as necessary. The minimum requirement is to handle the builtin decorators @property, @staticmethod and @classmethod.",Type Checking Control,Static Type Checking Guidelines,Design Decision
484,"The syntax leverages PEP 3107-style annotations with a number of extensions described in sections below. In its basic form, type hinting is used by filling function annotation slots with classes:

def greeting(name: str) -> str:     return 'Hello ' + name 

This states that the expected type of the name argument is str. Analogically, the expected return type is str.

Expressions whose type is a subtype of a specific argument type are also accepted for that argument.",Type Annotation Syntax,Function Type Annotation Syntax,Syntax
484,"Type hints may be built-in classes (including those defined in standard library or third-party extension modules), abstract base classes, types available in the types module, and user-defined classes (including those defined in the standard library or third-party modules).

While annotations are normally the best format for type hints, there are times when it is more appropriate to represent them by a special comment, or in a separately distributed stub file. (See below for examples.)

Annotations must be valid expressions that evaluate without raising exceptions at the time the function is defined (but see below for forward references).

Annotations should be kept simple or static analysis tools may not be able to interpret the values. For example, dynamically computed types are unlikely to be understood. (This is an intentionally somewhat vague requirement, specific inclusions and exclusions may be added to future versions of this PEP as warranted by the discussion.)

In addition to the above, the following special constructs defined below may be used: None, Any, Union, Tuple, Callable, all ABCs and stand-ins for concrete classes exported from typing (e.g. Sequence and Dict), type variables, and type aliases.

All newly introduced names used to support features described in following sections (such as Any and Union) are available in the typing module.",Stub Files & Type Distribution,Stub File-Based Type Distribution,Key Feature
484,"Type hints may be built-in classes (including those defined in standard library or third-party extension modules), abstract base classes, types available in the types module, and user-defined classes (including those defined in the standard library or third-party modules).

While annotations are normally the best format for type hints, there are times when it is more appropriate to represent them by a special comment, or in a separately distributed stub file. (See below for examples.)

Annotations must be valid expressions that evaluate without raising exceptions at the time the function is defined (but see below for forward references).

Annotations should be kept simple or static analysis tools may not be able to interpret the values. For example, dynamically computed types are unlikely to be understood. (This is an intentionally somewhat vague requirement, specific inclusions and exclusions may be added to future versions of this PEP as warranted by the discussion.)

In addition to the above, the following special constructs defined below may be used: None, Any, Union, Tuple, Callable, all ABCs and stand-ins for concrete classes exported from typing (e.g. Sequence and Dict), type variables, and type aliases.

All newly introduced names used to support features described in following sections (such as Any and Union) are available in the typing module.",Type System Design,Supported Type Hint Forms and Type Expressions,Key Feature
484,"Type aliases are defined by simple variable assignments:

Url = str  def retry(url: Url, retry_count: int) -> None: ... 

Note that we recommend capitalizing alias names, since they represent user-defined types, which (like user-defined classes) are typically spelled that way.

Type aliases may be as complex as type hints in annotations – anything that is acceptable as a type hint is acceptable in a type alias:

from typing import TypeVar, Iterable, Tuple  T = TypeVar('T', int, float, complex) Vector = Iterable[Tuple[T, T]]  def inproduct(v: Vector[T]) -> T:     return sum(x*y for x, y in v) def dilate(v: Vector[T], scale: T) -> Vector[T]:     return ((x * scale, y * scale) for x, y in v) vec = []  # type: Vector[float] 

This is equivalent to:

from typing import TypeVar, Iterable, Tuple  T = TypeVar('T', int, float, complex)  def inproduct(v: Iterable[Tuple[T, T]]) -> T:     return sum(x*y for x, y in v) def dilate(v: Iterable[Tuple[T, T]], scale: T) -> Iterable[Tuple[T, T]]:     return ((x * scale, y * scale) for x, y in v) vec = []  # type: Iterable[Tuple[float, float]] ",Type System Design,Support for Type Aliases,Key Feature
484,"Frameworks expecting callback functions of specific signatures might be type hinted using Callable[[Arg1Type, Arg2Type], ReturnType]. Examples:

from typing import Callable  def feeder(get_next_item: Callable[[], str]) -> None:     # Body  def async_query(on_success: Callable[[int], None],                 on_error: Callable[[int, Exception], None]) -> None:     # Body 

It is possible to declare the return type of a callable without specifying the call signature by substituting a literal ellipsis (three dots) for the list of arguments:

def partial(func: Callable[..., str], *args) -> Callable[..., str]:     # Body 

Note that there are no square brackets around the ellipsis. The arguments of the callback are completely unconstrained in this case (and keyword arguments are acceptable).

Since using callbacks with keyword arguments is not perceived as a common use case, there is currently no support for specifying keyword arguments with Callable. Similarly, there is no support for specifying callback signatures with a variable number of arguments of a specific type.

Because typing.Callable does double-duty as a replacement for collections.abc.Callable, isinstance(x, typing.Callable) is implemented by deferring to isinstance(x, collections.abc.Callable). However, isinstance(x, typing.Callable[...]) is not supported.",Type System Design,Support for Callable Type Annotations,Key Feature
484,"Since type information about objects kept in containers cannot be statically inferred in a generic way, abstract base classes have been extended to support subscription to denote expected types for container elements. Example:

from typing import Mapping, Set  def notify_by_email(employees: Set[Employee], overrides: Mapping[str, str]) -> None: ... 

Generics can be parameterized by using a new factory available in typing called TypeVar. Example:

from typing import Sequence, TypeVar  T = TypeVar('T')      # Declare type variable  def first(l: Sequence[T]) -> T:   # Generic function     return l[0] 

In this case the contract is that the returned value is consistent with the elements held by the collection.

A TypeVar() expression must always directly be assigned to a variable (it should not be used as part of a larger expression). The argument to TypeVar() must be a string equal to the variable name to which it is assigned. Type variables must not be redefined.

TypeVar supports constraining parametric types to a fixed set of possible types (note: those types cannot be parameterized by type variables). For example, we can define a type variable that ranges over just str and bytes. By default, a type variable ranges over all possible types. Example of constraining a type variable:

from typing import TypeVar, Text  AnyStr = TypeVar('AnyStr', Text, bytes)  def concat(x: AnyStr, y: AnyStr) -> AnyStr:     return x + y 

The function concat can be called with either two str arguments or two bytes arguments, but not with a mix of str and bytes arguments.

There should be at least two constraints, if any; specifying a single constraint is disallowed.

Subtypes of types constrained by a type variable should be treated as their respective explicitly listed base types in the context of the type variable. Consider this example:

class MyStr(str): ...  x = concat(MyStr('apple'), MyStr('pie')) 

The call is valid but the type variable AnyStr will be set to str and not MyStr. In effect, the inferred type of the return value assigned to x will also be str.

Additionally, Any is a valid value for every type variable. Consider the following:

def count_truthy(elements: List[Any]) -> int:     return sum(1 for elem in elements if elem) 

This is equivalent to omitting the generic notation and just saying elements: List.",Type System Design,Generic Types and Type Variables,Key Feature
484,"You can include a Generic base class to define a user-defined class as generic. Example:

from typing import TypeVar, Generic from logging import Logger  T = TypeVar('T')  class LoggedVar(Generic[T]):     def __init__(self, value: T, name: str, logger: Logger) -> None:         self.name = name         self.logger = logger         self.value = value      def set(self, new: T) -> None:         self.log('Set ' + repr(self.value))         self.value = new      def get(self) -> T:         self.log('Get ' + repr(self.value))         return self.value      def log(self, message: str) -> None:         self.logger.info('{}: {}'.format(self.name, message)) 

Generic[T] as a base class defines that the class LoggedVar takes a single type parameter T. This also makes T valid as a type within the class body.

The Generic base class uses a metaclass that defines __getitem__ so that LoggedVar[t] is valid as a type:

from typing import Iterable  def zero_all_vars(vars: Iterable[LoggedVar[int]]) -> None:     for var in vars:         var.set(0) 

A generic type can have any number of type variables, and type variables may be constrained. This is valid:

from typing import TypeVar, Generic ...  T = TypeVar('T') S = TypeVar('S')  class Pair(Generic[T, S]):     ... 

Each type variable argument to Generic must be distinct. This is thus invalid:

from typing import TypeVar, Generic ...  T = TypeVar('T')  class Pair(Generic[T, T]):   # INVALID     ... 

The Generic[T] base class is redundant in simple cases where you subclass some other generic class and specify type variables for its parameters:

from typing import TypeVar, Iterator  T = TypeVar('T')  class MyIter(Iterator[T]):     ... 

That class definition is equivalent to:

class MyIter(Iterator[T], Generic[T]):     ... 

You can use multiple inheritance with Generic:

from typing import TypeVar, Generic, Sized, Iterable, Container, Tuple  T = TypeVar('T')  class LinkedList(Sized, Generic[T]):     ...  K = TypeVar('K') V = TypeVar('V')  class MyMapping(Iterable[Tuple[K, V]],                 Container[Tuple[K, V]],                 Generic[K, V]):     ... 

Subclassing a generic class without specifying type parameters assumes Any for each position. In the following example, MyIterable is not generic but implicitly inherits from Iterable[Any]:

from typing import Iterable  class MyIterable(Iterable):  # Same as Iterable[Any]     ... 

Generic metaclasses are not supported.",Type System Design,Support for Generic User-Defined Classes,Key Feature
