document,quotation,Group,Codes,Themes
484,"Fundamental building blocks: Any, Union, Callable, Tuple, TypeVar, Generic, Type.",Type System Design,Introduction of Typing Module,Key Feature
484,"Generic variants of builtin collections: Dict, DefaultDict, List, Set, FrozenSet.",Type System Design,Support for Generic Collection Type Annotations,Key Feature
484,"Generic variants of container ABCs: Awaitable, AsyncIterable, AsyncIterator, Collection, Container, Coroutine, Generator, Iterable, Iterator, Mapping, Sequence.",Type System Design,Support for Generic Collection Type Annotations,Key Feature
484,"Convenience definitions: Optional, Text, AnyStr, NamedTuple, NewType, cast(), @no_type_check, @overload, get_type_hints(), TYPE_CHECKING.",Type System Design,Expansion of Type Hinting Utilities,Key Feature
484,Some tools may want to support type annotations in code that must be compatible with Python 2.7. For this purpose this PEP has a suggested extension where function annotations are placed in a # type: comment.,Type Annotation Syntax,Support for Type Comments,Key Feature
484,Tools that support this syntax should support it regardless of the Python version being checked. This is necessary in order to support code that straddles Python 2 and Python 3.,Compatibility & Adoption,Backward Compatibility with Previous Python Versions,Key Feature
484,It is not allowed for an argument or return value to have both a type annotation and a type comment.,Type Annotation Syntax,Maintaining Consistency Between Annotation Mechanisms,Design Decision
484,"For all these reasons, square brackets (e.g. List[int]) are (and have long been) the preferred syntax for generic type parameters.",Type Annotation Syntax,Standardizing Generic Type Parameter Syntax,Design Decision
484,"The current proposal does not introduce any direct incompatibilities, so programs using annotations in Python 3.4 will still work correctly and without prejudice in Python 3.5.",Compatibility & Adoption,Preserving Backward Compatibility of Annotations,Compatibility
484,"We do hope that type hints will eventually become the sole use for annotations, but this will require additional discussion and a deprecation period after the initial roll-out of the typing module.",Compatibility & Adoption,Gradual Adoption of Type Hints,Evolution of Type Hinting
484,The current proposal defines a decorator @no_type_check which disables the default interpretation of annotations as type hints in a given class or function.,Type Checking Control,Support for Disabling Type Checking,Key Feature
484,"It also defines a meta-decorator @no_type_check_decorator which can be used to decorate a decorator, causing annotations in any function or class decorated with the latter to be ignored by the type checker.",Type Checking Control,Support for Disabling Type Checking,Key Feature
484,The current proposal is admittedly sub-optimal when type hints must contain forward references.”,Type System Design,Support for Forward References in Type Annotations,Key Feature
484,A common scenario is a class definition whose methods need to reference the class itself in their annotations,Type System Design,Support for Forward References in Type Annotations,Key Feature
484,Our solution (...) is to allow using string literals in annotations.,Type System Design,Support for Forward References in Type Annotations,Key Feature
484,A counterproposal would change the semantics of type hints so they aren’t evaluated at runtime at all,Type Annotation Syntax,Preserving Annotation Flexibility,Design Decision
484,The double colon (::) ... disambiguating between type hints and other annotations,Type Annotation Syntax,Standardizing Type Annotation Syntax,Design Decision
484,It’s actually a feature that type hints are evaluated at runtime,Type Annotation Syntax,Preserving Annotation Flexibility,Design Decision
484,Making type hints available at runtime allows runtime type checkers to be built on top of type hints.,Developer Tooling & Ecosystem Support,Support for Runtime Type Checking Tools,Benefits
484,It catches mistakes even when the type checker is not run.,Developer Tooling & Ecosystem Support,Support for Static Analysis and Developer Tools,Benefits
484,"Because it’s new syntax, using the double colon for type hints would limit them to code that works with Python 3.5 only",Compatibility & Adoption,Backward Compatibility with Previous Python Versions,Previous Approach / Limitation
484,"By using existing syntax, the current proposal can easily work for older versions of Python 3",Type Annotation Syntax,Preserving Annotation Flexibility,Design Decision
484,"A decorator, e.g. @typehints(name=str, returns=str)..",Type Annotation Syntax,Standardizing Type Annotation Syntax,Motivation
484,Stub files... are primarily useful for adding type hints to existing code...,Stub Files & Type Distribution,Support for Stub Files,Key Feature
484,"Docstrings. There is an existing convention for docstrings, based on the Sphinx notation (:type arg1: description). This is pretty verbose (an extra line per parameter), and not very elegant. We could also make up something new, but the annotation syntax is hard to beat (because it was designed for this very purpose).",Type Annotation Syntax,Standardizing Type Annotation Syntax,Motivation
526,"PEP 484 introduced type hints, a.k.a. type annotations. While its main focus was function annotations, it also introduced the notion of type comments to annotate variables:",Type Hints,Introduction of Type Hints for Variables and Functions,Motivation
526,"# 'primes' is a list of integers primes = []  # type: List[int]  # 'captain' is a string (Note: initial value is a problem) captain = ...  # type: str  class Starship:     # 'stats' is a class variable     stats = {}  # type: Dict[str, int] ",Variable Annotations,Type Comments for Variable Type Declaration,Previous Approach / Limitation
526,"This PEP aims at adding syntax to Python for annotating the types of variables (including class variables and instance variables), instead of expressing them through comments:",Variable Annotations,Introducing Native Variable Annotation Syntax,Motivation
526,"PEP 484 explicitly states that type comments are intended to help with type inference in complex cases, and this PEP does not change this intention. However, since in practice type comments have also been adopted for class variables and instance variables, this PEP also discusses the use of type annotations for those variables.",Variable Annotations,Extending Type Annotation Support to Variable Categories,Key Feature
526,"Although type comments work well enough, the fact that they’re expressed through comments has some downsides:

Text editors often highlight comments differently from type annotations.

There’s no way to annotate the type of an undefined variable; one needs to initialize it to None (e.g. a = None # type: int).

Variables annotated in a conditional branch are difficult to read:

if some_value:     my_var = function() # type: Logger else:     my_var = another_function() # Why isn't there a type here? 

Since type comments aren’t actually part of the language, if a Python script wants to parse them, it requires a custom parser instead of just using ast.

Type comments are used a lot in typeshed. Migrating typeshed to use the variable annotation syntax instead of type comments would improve readability of stubs.

In situations where normal comments and type comments are used together, it is difficult to distinguish them:

path = None  # type: Optional[str]  # Path to module source 

It’s impossible to retrieve the annotations at runtime outside of attempting to find the module’s source code and parse it at runtime, which is inelegant, to say the least.
",Variable Annotations,Type Comments as Previous Approach,Previous Approach / Limitation
526,"The majority of these issues can be alleviated by making the syntax a core part of the language. Moreover, having a dedicated annotation syntax for class and instance variables (in addition to method annotations) will pave the way to static duck-typing as a complement to nominal typing defined by PEP 484.",Variable Annotations,Introducing Native Variable Annotation Syntax,Motivation
526,"While the proposal is accompanied by an extension of the typing.get_type_hints standard library function for runtime retrieval of annotations, variable annotations are not designed for runtime type checking. Third party packages will have to be developed to implement such functionality.

It should also be emphasized that Python will remain a dynamically typed language, and the authors have no desire to ever make type hints mandatory, even by convention. Type annotations should not be confused with variable declarations in statically typed languages. The goal of annotation syntax is to provide an easy way to specify structured type metadata for third party tools.

This PEP does not require type checkers to change their type checking rules. It merely provides a more readable syntax to replace type comments.",Type System Design,Static Typing Support within a Dynamic Language,Design Decision
526,"Type annotation can be added to an assignment statement or to a single expression indicating the desired type of the annotation target to a third party type checker:

my_var: int my_var = 5  # Passes type check. other_var: int  = 'a'  # Flagged as error by type checker,                        # but OK at runtime. 

This syntax does not introduce any new semantics beyond PEP 484, so that the following three statements are equivalent:

var = value # type: annotation var: annotation; var = value var: annotation = value 

Below we specify the syntax of type annotations in different contexts and their runtime effects.

We also suggest how type checkers might interpret annotations, but compliance to these suggestions is not mandatory. (This is in line with the attitude towards compliance in PEP 484.)",Variable Annotations,Introducing Native Variable Annotation Syntax,Motivation
526,"The types of locals and globals can be annotated as follows:

some_number: int           # variable without initial value some_list: List[int] = []  # variable with initial value 

Being able to omit the initial value allows for easier typing of variables assigned in conditional branches:",Variable Annotations,Extending Type Annotation Support to Variable Categories,Key Feature
526,"

Type annotations can also be used to annotate class and instance variables in class bodies and methods. In particular, the value-less notation a: int allows one to annotate instance variables that should be initialized in __init__ or __new__. The proposed syntax is as follows:

class BasicStarship:     captain: str = 'Picard'               # instance variable with default     damage: int                           # instance variable without default     stats: ClassVar[Dict[str, int]] = {}  # class variable 

Here ClassVar is a special class defined by the typing module that indicates to the static type checker that this variable should not be set on instances.

Note that a ClassVar parameter cannot include any type variables, regardless of the level of nesting: ClassVar[T] and ClassVar[List[Set[T]]] are both invalid if T is a type variable.

This could be illustrated with a more detailed example. In this class:

class Starship:     captain = 'Picard'     stats = {}      def __init__(self, damage, captain=None):         self.damage = damage         if captain:             self.captain = captain  # Else keep the default      def hit(self):         Starship.stats['hits'] = Starship.stats.get('hits', 0) + 1 

stats is intended to be a class variable (keeping track of many different per-game statistics), while captain is an instance variable with a default value set in the class. This difference might not be seen by a type checker: both get initialized in the class, but captain serves only as a convenient default value for the instance variable, while stats is truly a class variable – it is intended to be shared by all instances.

Since both variables happen to be initialized at the class level, it is useful to distinguish them by marking class variables as annotated with types wrapped in ClassVar[...]. In this way a type checker may flag accidental assignments to attributes with the same name on instances.

For example, annotating the discussed class:

class Starship:     captain: str = 'Picard'     damage: int     stats: ClassVar[Dict[str, int]] = {}      def __init__(self, damage: int, captain: str = None):         self.damage = damage         if captain:             self.captain = captain  # Else keep the default      def hit(self):         Starship.stats['hits'] = Starship.stats.get('hits', 0) + 1  enterprise_d = Starship(3000) enterprise_d.stats = {} # Flagged as error by a type checker Starship.stats = {} # This is OK 

As a matter of convenience (and convention), instance variables can be annotated in __init__ or other methods, rather than in the class:

from typing import Generic, TypeVar T = TypeVar('T')  class Box(Generic[T]):     def __init__(self, content):         self.content: T = content ",Variable Annotations,Extending Type Annotation Support to Variable Categories,Key Feature
526,"The target of the annotation can be any valid single assignment target, at least syntactically (it is up to the type checker what to do with this):

class Cls:     pass  c = Cls() c.x: int = 0  # Annotates c.x with int. c.y: int      # Annotates c.y with int.  d = {} d['a']: int = 0  # Annotates d['a'] with int. d['b']: int      # Annotates d['b'] with int. 

Note that even a parenthesized name is considered an expression, not a simple name:

(x): int      # Annotates x with int, (x) treated as expression by compiler. (y): int = 0  # Same situation here. ",Variable Annotations,Extending Type Annotation Support to Variable Categories,Key Feature
526,"It is illegal to attempt to annotate variables subject to global or nonlocal in the same function scope:

def f():     global x: int  # SyntaxError  def g():     x: int  # Also a SyntaxError     global x 

The reason is that global and nonlocal don’t own variables; therefore, the type annotations belong in the scope owning the variable.

Only single assignment targets and single right hand side values are allowed. In addition, one cannot annotate variables used in a for or with statement; they can be annotated ahead of time, in a similar manner to tuple unpacking:

a: int for a in my_iter:     ...  f: MyFile with myfunc() as f:     ... ",Variable Annotations,Extending Type Annotation Support to Variable Categories,Key Feature
526,"As variable annotations are more readable than type comments, they are preferred in stub files for all versions of Python, including Python 2.7. Note that stub files are not executed by Python interpreters, and therefore using variable annotations will not lead to errors. Type checkers should support variable annotations in stubs for all versions of Python. For example:

# file lib.pyi  ADDRESS: unicode = ...  class Error:     cause: Union[str, unicode]",Stub Files & Type Distribution,Support for Variable Annotations in Stubs,Key Feature
526,"Annotations for module level variables, class and instance variables, and local variables should have a single space after corresponding colon. There should be no space before the colon. If an assignment has right hand side, then the equality sign should have exactly one space on both sides. Examples:

Yes:

code: int  class Point:     coords: Tuple[int, int]     label: str = '<unknown>' 

No:

code:int  # No space after colon code : int  # Space before colon  class Test:     result: int=0  # No spaces around equality sign ",Variable Annotations,Standardizing Variable Annotation Syntax,Design Decision
526,"A new covariant type ClassVar[T_co] is added to the typing module. It accepts only a single argument that should be a valid type, and is used to annotate clas",Developer Tooling & Ecosystem Support,Exposing Annotations Through Introspection APIs,Adoption Practice
526,"Annotating a local variable will cause the interpreter to treat it as a local, even if it was never assigned to. An",Developer Tooling & Ecosystem Support,Exposing Annotations Through Introspection APIs,Adoption Practice
526,"While Python with this PEP will not object to:

alice: 'well done' = 'A+' bob: 'what a shame' = 'F-' 

since it will not care about the type annotation beyond “it evaluates without raising”, a type checker that encounters it will flag it, unless disabled with # type: ignore or @no_type_check.",Annotation Design,Maintaining Annotation Extensibility,Design Decision
526,"""Should we introduce variable annotations at all? Variable annotations have already been around for almost two years in the form of type comments...""",Evolution of Type System,Evolution from Type Comments to Variable Annotations,Motivation
526,"""However, the comment syntax has many downsides listed in Rationale. This PEP is not about the need for type annotations, it is about what should be the syntax for such annotations.""",Type Annotation Syntax,Improving Type Annotation Syntax,Design Decision
526,"""Introduce a new keyword...""",Type Annotation Syntax,Improving Type Annotation Syntax,Motivation
526,"""Use def as a keyword...""",Type Annotation Syntax,Rejection of Function-Like Variable Declaration Syntax,Design Decision
526,"""Use function based syntax: var = cast(annotation[, value])...""",Type Annotation Syntax,Rejection of Function-Like Variable Declaration Syntax,Design Decision
526,"""Allow type annotations for tuple unpacking...""",Type Annotation Syntax,Rejection of Function-Based Annotation Syntax,Design Decision
526,"""Parenthesized form (var: type) for annotations...""",Type Annotation Syntax,Rejection of Parenthesized Annotation Syntax,Design Decision
526,"""Allow annotations in chained assignments...""",Type Annotation Syntax,Restriction of Ambiguous Assignment Annotations,Design Decision
526,"""Allow annotations in with and for statement...""",Type Annotation Syntax,Restriction of Complex Assignment Contexts,Design Decision
526,"""Evaluate local annotations at function definition time...""",Type Annotation Syntax,Preserving Runtime Evaluation Semantics,Design Decision
526,"""Store variable annotations also in function scope...""",Type Annotation Syntax,Limiting Runtime Annotation Storage,Design Decision
526,"""Initialize variables annotated without assignment...""",Variable Annotations,Non-Initialization of Annotated Variables,Design Decision
526,"""Add also InstanceVar to the typing module...""",Variable Annotations,Default Treatment of Instance Variables,Design Decision
526,"""Allow instance variable annotations only in methods...""",Variable Annotations,Class-Level Organization of Instance Annotations,Design Decision
526,"""Use syntax x: class t = v for class variables...""",Variable Annotations,Rejection of Alternative Class Variable Syntax,Design Decision
526,"""Forget about ClassVar altogether...""",Type System Design,Support for Class Variable Type Distinction,Design Decision
526,"""Use ClassAttr instead of ClassVar...""",Type System Design,Naming of Class Variable Annotation Construct,Design Decision
526,"""Do not evaluate annotations, treat them as strings...""",Type Annotation Syntax,Preserving Runtime Evaluation of Annotations,Design Decision
526,"""Annotate variable types in class docstring...""",Stub Files & Type Distribution,Rejection of Documentation-Based Type Declarations,Design Decision
526,"""Implement annotations as a descriptor...""",Type Annotation Syntax,"Annotation Syntax
Runtime Annotation Storage Management",Design Decision
526,"""Treating bare annotations the same as global or nonlocal...""",Variable Annotations,Scope Semantics of Variable Annotations,Design Decision
483,"t1, t2, etc. and u1, u2, etc. are types. Sometimes we write ti or tj to refer to “any of t1, t2, etc.”

T, U etc. are type variables (defined with TypeVar(), see below).

Objects, classes defined with a class statement, and instances are denoted using standard PEP 8 conventions.

the symbol == applied to types in the context of this PEP means that two expressions represent the same type.

Note that PEP 484 makes a distinction between types and classes (a type is a concept for the type checker, while a class is a runtime concept). In this PEP we clarify this distinction but avoid unnecessary strictness to allow more flexibility in the implementation of type checkers.",Type System Design,Clarifying Type System Terminology,Design Decision
483,"""There are many definitions of the concept of type in the literature. Here we assume that type is a set of values and a set of functions that one can apply to these values.""",Type System Design,Defining the Concept of Type,Design Decision
483,"""There are several ways to define a particular type:
By explicitly listing all values...
By specifying functions which can be used with variables of a type...
By a simple class definition",Type System Design,Supporting Multiple Type Definition Mechanisms,Key Feature
483,It is important for the user to be able to define types in a form that can be understood by type checkers,Type System Design,Enabling User-Defined Types for Static Checking,Key Feature
483,The goal of this PEP is to propose such a systematic way of defining types for type annotations of variables and functions using PEP 3107 syntax.,Motivation & Goals,Standardizing Type Annotation Semantics,Motivation
483,"""These annotations can be used to avoid many kind of bugs, for documentation purposes, or maybe even to increase speed of program execution. Here we only focus on avoiding bugs by using a static type checker.",Motivation & Goals,"Optional Static Type Checking
",Key Feature
483,"""A crucial notion for static type checker is the subtype relationship. It arises from the question: If first_var has type first_type, and second_var has type second_type, is it safe to assign first_var = second_var?""",Type System Design,Type Compatibility and Subtyping,Design Decision
483,"""Every value from second_type is also in the set of values of first_type; and every function from first_type is also in the set of functions of second_type.""",Type System Design,Type Compatibility and Subtyping,Key Feature
483,"Every type is a subtype of itself. The set of values becomes smaller in the process of subtyping, while the set of functions becomes larger.",Type System Design,Type Compatibility and Subtyping,Design Decision
483,"Every Dog is an Animal, also Dog has more functions... therefore Dog is a subtype of Animal.",Type System Design,Type Compatibility and Subtyping,Key Feature
483,"Integers are subtype of real numbers... integers support more operations, such as bitwise shifts.""",Type System Design,Type Compatibility and Subtyping,Key Feature
483,"If List[int] denotes the type formed by all lists containing only integer numbers, then it is not a subtype of List[float]",Type System Design,Type Compatibility and Subtyping,Design Decision
483,"The first condition of subtyping holds, but appending a real number only works with List[float] so that the second condition fails",Type System Design,Type Compatibility and Subtyping,Type Checking Rules
483,There are two widespread approaches to declare subtype information to type checker,"Type System Design
",Type System Design Decisions,Design Decision
483,"In nominal subtyping, the type tree is based on the class tree, i.e., UserID is considered a subtype of int",Type System Design,Type Compatibility and Subtyping,Key Feature
483,"This approach should be used under control of the type checker, because in Python one can override attributes in an incompatible way",Type System Design,Type System Design Decisions,Design Decision
483,"In structural subtyping the subtype relation is deduced from the declared methods, i.e., UserID and int would be considered the same type.",Type System Design,Type Compatibility and Subtyping,Key Feature
483,"Structural subtyping is considered more flexible. We strive to provide support for both approaches, so that structural information can be used in addition to nominal subtyping.",Type System Design,Type System Design Decisions,Design Decision
483,"Gradual typing allows one to annotate only part of a program, thus leverage desirable aspects of both dynamic and static typing",Compatibility & Adoption,Gradual Adoption,Adoption Practice
483,"We define a new relationship, is-consistent-with, which is similar to is-subtype-of, except it is not transitive when the new type Any is involved",Type System Design,Type Compatibility and Subtyping,Design Decision
483,Assigning a_value to a_variable is OK if the type of a_value is consistent with the type of a_variable.,Type System Design,Type Compatibility and Subtyping,Type Checking Rules
483,"""Any is consistent with every type. (But Any is not a subtype of every type.)""","Type System Design
",Type Compatibility and Subtyping,Key Feature
483,"""Every type is consistent with Any. (But every type is not a subtype of Any.)""",Type System Design,Type Compatibility and Subtyping,Key Feature
483,"""Any can be considered a type that has all values and all methods.""",Type System Design,Defining Type System Concepts,Key Feature
483,"""Any declares a fallback to dynamic typing and shuts up complaints from the static checker.""",Type Checking Control,Ignoring Type Errors,Key Feature
483,"Gradual typing allows one to annotate only part of a program, thus leverage desirable aspects of both dynamic and static typing",Compatibility & Adoption,Gradual Adoption,Adoption Practice
483,"In Python, classes are object factories defined by the class statement... Class is a dynamic, runtime concept",Type System Design,Type System Design Decisions,Previous Approach
483,"Type concept is described above, types appear in variable and function type annotations... and are used by static type checkers",Type System Design,Defining Type System Concepts,Key Feature
483,"Every class is a type as discussed above. But it is tricky and error prone to implement a class that exactly represents semantics of a given type, and it is not a goal of PEP 484",Type System Design,Type System Design Decisions,Design Decision
483,The static types described in PEP 484 should not be confused with the runtime classes.,Type System Design,Defining Type System Concepts,Design Decision
483,"""Union[str, int] is a type but not a proper class.""",Type System Design,Defining Type System Concepts,Key Feature
483,"""No types defined below (i.e. Any, Union, etc.) can be instantiated...""",Type System Design,Type System Design Decisions,Design Decision
483,"No types defined below can be subclassed, except for Generic and classes derived from it",Type System Design,Type System Design Decisions,Design Decision
483,All of these will raise TypeError if they appear in isinstance or issubclass..,Type Checking Control,Runtime vs Static Checking Separation,Design Decision
483,"Any. Every type is consistent with Any; and it is also consistent with every type (see above).

Union[t1, t2, …]. Types that are subtype of at least one of t1 etc. are subtypes of this.",Type System Design,"Union, Optional, Tuple, and Callable Type Expressions",Key Feature
483,"The fundamental building blocks defined above allow to construct new types in a generic manner. For example, Tuple can take a concrete type float and make a concrete type Vector = Tuple[float, ...], or it can take another type UserID and make another concrete type Registry = Tuple[UserID, ...]. Such semantics is known as generic type constructor, it is similar to semantics of functions, but a function takes a value and returns a value, while generic type constructor takes a type and “returns” a type.",Type System Design,Generic Types and Type Variables,Key Feature
483,"X = TypeVar('X') declares a unique type variable. The name must match the variable name. By default, a type variable ranges over all possible types. Example:",Type System Design,Type Variables,Key Feature
483,"Users can declare their classes as generic types using the special building block Generic. The definition class MyGeneric(Generic[X, Y, ...]): ... defines a generic type MyGeneric",Type System Design,Support for Generic User-Defined Classes,Key Feature
483,"If t2 is a subtype of t1, then a generic type constructor GenType is called:

Covariant, if GenType[t2] is a subtype of GenType[t1] for all such t1 and t2.

Contravariant, if GenType[t1] is a subtype of GenType[t2] for all such t1 and t2.",Type System Design,Variance Support in Generic Types,Key Feature
483,Some things are irrelevant to the theory but make practical use more convenient. (This is not a full list; I probably missed a few and some are still controversial or not fully specified.),Type System Design,Expansion of Type Hinting Utilities,Key Feature